payment_id,ride_id,user_id,payment_method,amount,payment_status,transaction_id,payment_time,created_at
1,1,3214,google_pay,48.17,completed,TXN-000001-4627,2024-05-03 05:49:00,2024-05-03 05:49:00
2,2,8471,debit_card,5.0,completed,TXN-000002-5561,2024-10-22 15:11:00,2024-10-22 15:11:00
3,3,5389,cash,40.7,completed,TXN-000003-1424,2024-09-24 05:17:00,2024-09-24 05:17:00
4,4,8146,apple_pay,41.93,completed,TXN-000004-4441,2024-10-31 01:01:00,2024-10-31 01:01:00
5,5,2883,apple_pay,44.86,completed,TXN-000005-9985,2024-09-07 17:35:00,2024-09-07 17:35:00
6,6,6456,credit_card,53.37,completed,TXN-000006-9491,2024-07-11 18:24:00,2024-07-11 18:24:00
7,7,5560,credit_card,53.44,completed,TXN-000007-4663,2024-01-28 08:25:00,2024-01-28 08:25:00
8,8,4826,google_pay,22.18,completed,TXN-000008-9972,2024-01-26 15:21:00,2024-01-26 15:21:00
9,9,5855,debit_card,17.13,completed,TXN-000009-4267,2024-01-02 17:13:00,2024-01-02 17:13:00
10,10,7104,debit_card,112.59,completed,TXN-000010-3562,2024-04-17 14:36:00,2024-04-17 14:36:00
11,11,3401,google_pay,22.54,completed,TXN-000011-3945,2024-03-20 19:15:00,2024-03-20 19:15:00
12,12,3770,debit_card,22.48,completed,TXN-000012-7930,2024-09-08 15:49:00,2024-09-08 15:49:00
13,13,5351,google_pay,60.71,completed,TXN-000013-1891,2024-03-18 04:36:00,2024-03-18 04:36:00
14,14,3655,credit_card,35.76,completed,TXN-000014-1734,2024-03-21 22:38:00,2024-03-21 22:38:00
15,15,7538,google_pay,74.84,completed,TXN-000015-3883,2024-06-13 08:26:00,2024-06-13 08:26:00
16,16,4417,credit_card,25.07,completed,TXN-000016-7648,2024-08-26 16:52:00,2024-08-26 16:52:00
17,17,2980,debit_card,60.69,completed,TXN-000017-4116,2024-02-04 22:51:00,2024-02-04 22:51:00
