rating_id,ride_id,rider_id,driver_id,rating,comment,rated_at,created_at
1,1,3214,29,5,Great driver and smooth ride!,2024-05-03 05:56:00,2024-05-03 05:56:00
2,2,8471,128,2,Ride was cancelled.,2024-10-22 15:36:00,2024-10-22 15:36:00
3,3,5389,476,5,Great driver and smooth ride!,2024-09-24 05:59:00,2024-09-24 05:59:00
4,4,8146,1454,5,Very polite and clean vehicle.,2024-10-31 01:03:00,2024-10-31 01:03:00
5,5,2883,1142,4,Pleasant trip.,2024-09-07 18:16:00,2024-09-07 18:16:00
6,6,6456,1052,5,Very polite and clean vehicle.,2024-07-11 18:27:00,2024-07-11 18:27:00
7,7,5560,1074,4,"Car was very clean, slight delay due to traffic.",2024-01-28 08:31:00,2024-01-28 08:31:00
8,8,4826,1754,3,Car could have been cleaner.,2024-01-26 15:51:00,2024-01-26 15:51:00
9,9,5855,1430,5,Quick pickup and very safe driving.,2024-01-02 17:56:00,2024-01-02 17:56:00
10,10,7104,1114,5,Very polite and clean vehicle.,2024-04-17 15:05:00,2024-04-17 15:05:00
11,11,3401,809,5,Best ride of the week!,2024-03-20 19:41:00,2024-03-20 19:41:00
12,12,3770,2372,4,"Good ride overall, arrived safely.",2024-09-08 16:21:00,2024-09-08 16:21:00
13,13,5351,2434,5,Great driver and smooth ride!,2024-03-18 05:12:00,2024-03-18 05:12:00
14,14,3655,1927,4,"Car was very clean, slight delay due to traffic.",2024-03-21 22:46:00,2024-03-21 22:46:00
15,15,7538,2473,5,Best ride of the week!,2024-06-13 08:29:00,2024-06-13 08:29:00
16,16,4417,2204,4,"Car was very clean, slight delay due to traffic.",2024-08-26 17:33:00,2024-08-26 17:33:00
17,17,2980,5,5,Best ride of the week!,2024-02-04 23:19:00,2024-02-04 23:19:00
18,18,8199,1606,3,"Average experience, driver was okay.",2024-02-22 10:41:00,2024-02-22 10:41:00
19,19,3473,1313,4,"Decent driver, took a good route.",2024-04-02 03:44:00,2024-04-02 03:44:00
20,20,9159,743,5,Best ride of the week!,2024-09-18 19:37:00,2024-09-18 19:37:00
21,21,3955,2435,5,Best ride of the week!,2024-11-02 21:50:00,2024-11-02 21:50:00
22,22,5429,526,5,Very polite and clean vehicle.,2024-04-18 22:05:00,2024-04-18 22:05:00
23,23,9053,1313,5,Best ride of the week!,2024-02-27 15:58:00,2024-02-27 15:58:00
24,24,7318,936,5,Quick pickup and very safe driving.,2024-05-27 17:19:00,2024-05-27 17:19:00
25,25,7868,1849,2,Driver was somewhat distracted.,2024-09-11 05:15:00,2024-09-11 05:15:00
26,26,3335,1961,5,"Excellent driving, pleasant conversation.",2024-10-08 05:41:00,2024-10-08 05:41:00
27,27,3830,2143,2,Ride was cancelled.,2024-07-26 19:39:00,2024-07-26 19:39:00
28,28,2863,674,5,Very polite and clean vehicle.,2024-02-12 12:58:00,2024-02-12 12:58:00
29,29,2625,1426,5,"Excellent driving, pleasant conversation.",2024-06-10 19:11:00,2024-06-10 19:11:00
30,30,5270,1122,5,Great driver and smooth ride!,2024-05-15 00:18:00,2024-05-15 00:18:00
31,31,7511,2010,5,"Excellent driving, pleasant conversation.",2024-05-16 23:19:00,2024-05-16 23:19:00
32,32,9425,347,5,Best ride of the week!,2024-11-03 19:28:00,2024-11-03 19:28:00
33,33,6723,1161,5,"Excellent driving, pleasant conversation.",2024-01-29 22:03:00,2024-01-29 22:03:00
34,34,2664,785,3,Driver took a longer route.,2024-08-18 02:41:00,2024-08-18 02:41:00
35,35,8944,1130,3,Ride was cancelled.,2024-01-06 03:30:00,2024-01-06 03:30:00
36,36,5979,1130,1,Ride was cancelled.,2024-05-23 04:10:00,2024-05-23 04:10:00
37,37,7004,1212,5,Best ride of the week!,2024-02-21 16:39:00,2024-02-21 16:39:00
38,38,4888,730,5,Great driver and smooth ride!,2024-05-15 03:19:00,2024-05-15 03:19:00
39,39,7774,889,5,"Excellent driving, pleasant conversation.",2024-07-26 05:20:00,2024-07-26 05:20:00
40,40,9471,2300,4,"Decent driver, took a good route.",2024-06-17 12:04:00,2024-06-17 12:04:00
41,41,9936,2415,1,Ride was cancelled.,2024-03-12 00:32:00,2024-03-12 00:32:00
42,42,4001,452,5,Quick pickup and very safe driving.,2024-01-14 20:48:00,2024-01-14 20:48:00
43,43,4159,1034,2,Driver was somewhat distracted.,2024-07-05 05:37:00,2024-07-05 05:37:00
44,44,8750,1483,5,Great driver and smooth ride!,2024-08-19 19:17:00,2024-08-19 19:17:00
45,45,6065,624,5,Very polite and clean vehicle.,2024-08-04 23:30:00,2024-08-04 23:30:00
46,46,3561,958,5,Best ride of the week!,2024-06-16 15:13:00,2024-06-16 15:13:00
47,47,4198,2475,5,Quick pickup and very safe driving.,2024-08-19 23:58:00,2024-08-19 23:58:00
48,48,8398,988,5,Best ride of the week!,2024-01-18 06:09:00,2024-01-18 06:09:00
49,49,7744,1125,4,"Car was very clean, slight delay due to traffic.",2024-05-19 13:00:00,2024-05-19 13:00:00
50,50,3030,2465,3,Ride was cancelled.,2024-02-26 15:53:00,2024-02-26 15:53:00
