ride_id,rider_id,driver_id,requested_at,pickup_time,dropoff_time,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,distance_km,fare,surge_multiplier,status,cancellation_reason
1,3214,29,2024-05-03 04:35:00,2024-05-03 04:42:00,2024-05-03 05:49:00,49.217408,-123.128539,49.261267,-123.09291,28.78,48.17,1.1,completed,
2,8471,128,2024-10-22 15:11:00,,,50.965665,-113.993756,51.018059,-114.07614,19.11,5.0,1.75,cancelled,rider_cancelled
3,5389,476,2024-09-24 04:31:00,2024-09-24 04:34:00,2024-09-24 05:17:00,51.121537,-114.004609,50.985086,-114.048572,16.88,40.7,1.5,completed,
4,8146,1454,2024-10-31 00:06:00,2024-10-31 00:16:00,2024-10-31 01:01:00,45.437307,-75.66025,45.386459,-75.706429,21.46,41.93,1.25,completed,
5,2883,1142,2024-09-07 16:42:00,2024-09-07 16:53:00,2024-09-07 17:35:00,49.253233,-123.172487,49.290251,-123.165272,15.81,44.86,1.75,completed,
6,6456,1052,2024-07-11 17:12:00,2024-07-11 17:20:00,2024-07-11 18:24:00,43.597206,-79.381196,43.72516,-79.450702,28.0,53.37,1.25,completed,
7,5560,1074,2024-01-28 06:58:00,2024-01-28 07:06:00,2024-01-28 08:25:00,51.088845,-114.095894,51.080414,-114.083886,35.67,53.44,1.0,completed,
8,4826,1754,2024-01-26 14:41:00,2024-01-26 14:53:00,2024-01-26 15:21:00,46.823878,-71.136148,46.874546,-71.153447,11.9,22.18,1.1,completed,
9,5855,1430,2024-01-02 16:49:00,2024-01-02 16:59:00,2024-01-02 17:13:00,46.794022,-71.245726,46.776588,-71.234137,4.49,17.13,1.75,completed,
10,7104,1114,2024-04-17 13:02:00,2024-04-17 13:10:00,2024-04-17 14:36:00,46.839827,-71.281633,46.83472,-71.212023,37.71,112.59,2.0,completed,
11,3401,809,2024-03-20 18:50:00,2024-03-20 18:53:00,2024-03-20 19:15:00,43.681861,-79.454614,43.660608,-79.358083,10.38,22.54,1.25,completed,
12,3770,2372,2024-09-08 15:12:00,2024-09-08 15:15:00,2024-09-08 15:49:00,45.36174,-75.741714,45.410198,-75.735914,13.56,22.48,1.0,completed,
