vehicle_id,driver_id,make,model,year,license_plate,insurance_provider,color,is_active,created_at
1,1,Subaru,Forester,2020,JE81-282-1,ICBC,Black,True,2023-09-19 00:00:00
2,2,Honda,CR-V,2019,KL20-941-2,Desjardins,Grey,True,2023-05-20 00:00:00
3,3,Tesla,Model Y,2022,CP92-649-3,Desjardins,Dark Blue,True,2023-07-04 00:00:00
4,4,Honda,Accord,2022,OF24-344-4,TD Insurance,Blue,True,2022-05-03 00:00:00
5,5,Chevrolet,Equinox,2021,NA31-232-5,ICBC,Grey,True,2022-12-01 00:00:00
6,6,Toyota,RAV4,2021,LB24-828-6,Desjardins,Silver,True,2022-06-11 00:00:00
7,7,Hyundai,Sonata,2023,AX96-313-7,Aviva,Black,True,2023-08-15 00:00:00
8,8,Ford,Escape,2018,VV88-599-8,Intact Insurance,White,True,2023-09-04 00:00:00
9,9,Ford,Fusion,2021,TG76-487-9,Aviva,Black,True,2023-01-04 00:00:00
10,10,Ford,Explorer,2024,AI29-144-10,Co-operators,Blue,True,2023-06-18 00:00:00
11,11,Nissan,Rogue,2023,JP77-528-11,Desjardins,Silver,True,2023-12-09 00:00:00
12,12,Kia,Sportage,2020,HA99-813-12,Intact Insurance,Dark Blue,True,2022-09-10 00:00:00
13,13,Honda,Civic,2021,TJ25-432-13,Desjardins,Red,True,2023-03-08 00:00:00
14,14,Hyundai,Tucson,2024,GD74-582-14,Intact Insurance,Red,True,2023-04-01 00:00:00
15,15,Toyota,Corolla,2022,RF28-166-15,TD Insurance,Dark Blue,True,2022-08-31 00:00:00
16,16,Tesla,Model Y,2020,TH32-983-16,Desjardins,Silver,True,2022-04-19 00:00:00
17,17,Tesla,Model 3,2024,QJ91-116-17,Co-operators,Grey,True,2023-02-06 00:00:00
18,18,Subaru,Outback,2019,QH43-181-18,TD Insurance,White,True,2022-12-15 00:00:00
19,19,Honda,Civic,2020,UY27-622-19,TD Insurance,Silver,True,2023-02-20 00:00:00
20,20,Toyota,Camry,2019,SD35-315-20,Desjardins,White,True,2023-08-14 00:00:00
21,21,Ford,Escape,2024,AG85-284-21,Intact Insurance,Blue,True,2022-07-25 00:00:00
22,22,Ford,Escape,2024,KQ14-497-22,Aviva,White,True,2024-01-11 00:00:00
23,23,Chevrolet,Malibu,2020,ZK18-242-23,ICBC,Blue,True,2023-09-12 00:00:00
24,24,Ford,Escape,2021,WH24-629-24,Co-operators,Black,True,2023-03-07 00:00:00
25,25,Chevrolet,Malibu,2019,ZA88-562-25,TD Insurance,Blue,True,2022-05-10 00:00:00
26,26,Kia,Sportage,2020,MG50-123-26,TD Insurance,Grey,True,2022-12-05 00:00:00
27,27,Tesla,Model Y,2018,RR53-736-27,Desjardins,Dark Blue,True,2023-08-03 00:00:00
28,28,Ford,Explorer,2020,HG54-709-28,Co-operators,Red,True,2022-12-30 00:00:00
29,29,Kia,Forte,2018,SZ50-770-29,Co-operators,White,True,2022-10-25 00:00:00
30,30,Honda,Accord,2023,IV90-856-30,Desjardins,White,True,2023-03-12 00:00:00
31,31,Toyota,Camry,2021,SY77-891-31,Aviva,Dark Blue,True,2023-02-16 00:00:00
32,32,Hyundai,Elantra,2019,XQ89-120-32,Desjardins,Silver,True,2023-01-08 00:00:00
33,33,Ford,Fusion,2023,CV32-584-33,ICBC,Black,True,2023-05-19 00:00:00
34,34,Nissan,Rogue,2020,YJ80-473-34,Co-operators,Grey,True,2023-08-18 00:00:00
35,35,Chevrolet,Equinox,2023,MQ86-274-35,TD Insurance,Red,True,2023-09-05 00:00:00
36,36,Nissan,Sentra,2023,KD28-591-36,Intact Insurance,Red,True,2022-07-17 00:00:00
37,37,Toyota,Prius,2022,WG63-157-37,TD Insurance,White,True,2023-09-01 00:00:00
38,38,Toyota,Camry,2024,WU51-444-38,Aviva,Silver,True,2023-06-04 00:00:00
39,39,Tesla,Model 3,2020,DK44-740-39,Intact Insurance,Dark Blue,True,2023-01-20 00:00:00
